"id","time","probability"
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-14T05:29:35.502Z",0.12581936685889272
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-15T05:30:56.739Z",0.13521620610781582
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-16T05:31:02.684Z",0.12883433344401318
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-17T05:36:31.200Z",0.12883433344401318
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-18T04:46:24.469Z",0.13056347732915727
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-19T05:37:40.391Z",0.12830607524109608
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-20T05:37:40.913Z",0.1367195501398325
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-21T05:40:01.782Z",0.1367195501398325
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-22T05:35:23.902Z",0.13615516798057611
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-23T05:35:22.065Z",0.13975232160032097
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-24T05:39:35.034Z",0.14026233563869558
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-25T05:45:38.806Z",0.14
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-26T05:45:31.805Z",0.14
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-27T05:45:24.162Z",0.13317805401534627
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-28T05:46:19.027Z",0.13104730728837313
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-29T05:48:48.253Z",0.12897693732530974
"manifold-IY4cZAXStA3cvcqCDJqR","2023-04-30T05:45:43.612Z",0.12250233433494041
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-01T05:45:16.787Z",0.1260216501246609
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-02T05:54:05.676Z",0.12409073985977342
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-03T05:49:26.119Z",0.10674279727206333
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-04T06:18:27.560Z",0.1118694290320162
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-05T05:54:16.601Z",0.12252236708499296
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-06T05:54:41.727Z",0.12298953164960777
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-07T05:52:18.042Z",0.1190030301502894
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-08T05:55:47.255Z",0.10321215025365053
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-09T05:57:33.551Z",0.11082162812791897
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-10T06:00:04.556Z",0.11004942253408107
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-11T05:59:17.170Z",0.11004942253408107
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-12T06:59:30.339Z",0.11004942253408107
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-13T09:53:44.631Z",0.12155570977003655
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-14T06:38:53.793Z",0.13700667448927528
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-15T06:56:48.254Z",0.10408795181643317
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-16T06:57:31.600Z",0.10067324101756664
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-17T06:58:07.955Z",0.09999999999999996
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-18T09:10:28.699Z",0.09386757432144831
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-19T07:11:47.233Z",0.09447479252231246
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-20T07:13:21.548Z",0.09164767784851587
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-21T07:10:52.375Z",0.08539430999746
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-22T07:10:05.260Z",0.08539430999746
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-23T07:16:34.124Z",0.11598571707470913
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-24T04:42:19.223Z",0.11648045009549202
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-25T07:13:01.033Z",0.1087180864331272
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-26T07:22:32.491Z",0.09750041049355988
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-27T09:04:14.703Z",0.09597932800206198
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-28T07:15:35.086Z",0.09597932800206198
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-29T07:10:58.697Z",0.09883903500771499
"manifold-IY4cZAXStA3cvcqCDJqR","2023-05-30T07:20:01.864Z",0.08196142906199885
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-01T07:10:24.390Z",0.10273192821399617
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-02T06:54:02.179Z",0.10644777857255242
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-03T07:26:45.050Z",0.10644777857255242
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-04T07:17:34.335Z",0.10644777857255242
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-05T06:55:26.316Z",0.12491410664867861
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-06T07:09:43.248Z",0.12000000000000005
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-07T08:52:43.307Z",0.12000000000000005
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-08T07:19:47.085Z",0.12271543551704135
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-09T07:50:31.973Z",0.12178846534586196
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-10T07:04:21.360Z",0.12178846534586196
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-11T05:34:18.493Z",0.10597804012000833
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-13T07:14:28.091Z",0.1052996214118385
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-14T06:18:48.053Z",0.10951902328971136
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-15T05:12:08.492Z",0.10925781731026628
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-16T07:18:31.109Z",0.10925781731026628
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-17T07:25:47.367Z",0.10791130376544018
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-18T07:25:57.475Z",0.13453670903968404
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-19T07:27:35.416Z",0.1310840046315137
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-20T04:42:15.860Z",0.1310840046315137
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-21T07:34:21.252Z",0.1310840046315137
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-22T07:34:04.088Z",0.1310840046315137
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-23T09:51:01.451Z",0.12601351531427576
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-24T07:57:39.275Z",0.2900000000000001
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-25T07:48:29.888Z",0.16438820458822903
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-26T07:48:34.981Z",0.12860526003198303
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-27T07:41:43.103Z",0.15021251070708738
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-28T04:31:52.958Z",0.15076792712607295
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-29T05:18:27.142Z",0.19388530089183265
"manifold-IY4cZAXStA3cvcqCDJqR","2023-06-30T07:49:06.557Z",0.19595341906877495
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-01T08:49:36.312Z",0.15777630187472097
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-02T09:03:11.130Z",0.13322523134652095
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-03T08:48:24.113Z",0.13083092797049625
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-04T10:02:05.968Z",0.1373471998215719
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-05T08:48:39.581Z",0.12370586827601211
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-06T08:49:50.645Z",0.14043981747460815
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-07T08:47:23.005Z",0.12738898725510261
"manifold-IY4cZAXStA3cvcqCDJqR","2023-07-08T04:57:23.359Z",0.09336794689937376
